t_s,n,u1_pwm,u1_V,u1unsat_pwm,u1unsat_V,y1_rads,u2_ref,y2_rad,x1i,x2i,x1o,x2o
0.28,113,397.539489746094,4.09293186032493,397.539489746094,4.09293186032493,2.41646194458008,160.465667724609,-0.000124287325888872,0,0,0,0
0.2825,114,415.632904052734,4.43120183314941,415.632904052734,4.43120183314941,2.416579246521,167.703109741211,-9.07798021216877e-05,0,0,0,0
0.285,115,431.384552001953,4.70466180873398,431.384552001953,4.70466180873398,2.41660356521606,174.003784179688,-6.63058162899688e-05,0,0,0,0
0.2875,116,444.675354003906,4.91981067395293,444.675354003906,4.91981067395293,2.41660857200623,179.320114135742,-4.84299489471596e-05,0,0,0,0
0.29,117,391.769897460938,3.97992786201298,391.769897460938,3.97992786201298,2.41660976409912,158.157928466797,0.000134019603137858,0,0,0,0
0.2925,118,370.545959472656,3.54539818896363,370.545959472656,3.54539818896363,2.41660976409912,149.668350219727,0.000267281255219132,0,0,0,0
0.295,119,367.209930419922,3.47474195174083,367.209930419922,3.47474195174083,2.41660976409912,148.333938598633,0.000364615931175649,0,0,0,0
0.2975,120,373.240936279297,3.60205640160383,373.240936279297,3.60205640160383,2.41660976409912,150.746337890625,0.000435709429439157,0,0,0,0
0.3,121,383.509399414062,3.81414143025225,383.509399414062,3.81414143025225,2.41660976409912,154.853729248047,0.000487636309117079,0,0,0,0
0.3025,122,395.039184570312,4.04425214315977,395.039184570312,4.04425214315977,2.41660976409912,159.465637207031,0.000525563838891685,0,0,0,0
0.305,123,406.199005126953,4.25796029714374,406.199005126953,4.25796029714374,2.41660976409912,163.929565429688,0.000553266203496605,0,0,0,0
0.3075,124,355.180236816406,3.21578042087275,355.180236816406,3.21578042087275,0.502363801002502,142.373519897461,0.000742893083952367,0,0,0,0
0.31,125,331.266418457031,2.68866408234453,331.266418457031,2.68866408234453,2.01867723464966,133.7177734375,0.000881397048942745,0,0,0,0
0.3125,126,327.26904296875,2.59999397324498,327.26904296875,2.59999397324498,2.33388781547546,132.307952880859,0.000982560683041811,0,0,0,0
0.315,127,396.916564941406,4.08084610046818,396.916564941406,4.08084610046818,2.39941358566284,160.206268310547,0.000887057976797223,0,0,0,0
